Location,MatchedCity,CityFromAU,State,Latitude,Longitude,Population,PopulationProper,MatchStatus,Records,AvgRainfall,TotalRainfall,RainyDays,HeavyRainDays,RainyDayRate,HeavyRainRate,RainTomorrowRate,AvgMinTemp,AvgMaxTemp,AvgHumidity3pm,AvgPressure3pm,AvgWindGustSpeed
Adelaide,Adelaide,Adelaide,South Australia,-34.93,138.6,1345777.0,1295714.0,Matched,3193,1.57,4841.6,1061,140,33.23,4.38,22.27,12.58,22.9,44.83,1016.8,36.5
Albany,Albany,Albany,Western Australia,-35.02,117.88,34205.0,29373.0,Matched,3040,2.26,6827.8,1349,219,44.38,7.2,29.91,12.95,20.07,67.41,1016.5,
Albury,Albury,Albury,New South Wales,-36.08,146.92,47974.0,4804.0,Matched,3040,1.91,5763.4,996,186,32.76,6.12,20.52,9.53,22.64,47.87,1015.76,32.98
AliceSprings,Alice Springs,Alice Springs,Northern Territory,-23.7,133.87,23726.0,23726.0,Matched,3040,0.88,2676.8,367,83,12.07,2.73,8.05,13.14,29.25,24.13,1012.87,40.53
BadgerysCreek,BadgerysCreek,,,,,,,Needs review,3009,2.19,6421.4,989,196,32.87,6.51,19.91,11.13,24.03,51.38,1015.64,33.6
Ballarat,Ballarat,Ballarat,Victoria,-37.55,143.85,105471.0,98543.0,Matched,3040,1.74,5268.8,1364,128,44.87,4.21,25.79,7.37,18.29,59.03,1016.27,44.98
Bendigo,Bendigo,Bendigo,Victoria,-36.75,144.27,99122.0,95587.0,Matched,3040,1.62,4913.2,1087,158,35.76,5.2,18.52,8.59,21.62,46.47,1015.87,38.85
Brisbane,Brisbane,Brisbane,Queensland,-27.47,153.03,2514184.0,2360241.0,Matched,3193,3.14,9941.0,1128,253,35.33,7.92,22.43,16.42,26.45,53.91,1015.1,28.21
Cairns,Cairns,Cairns,Queensland,-16.93,145.77,152729.0,146778.0,Matched,3040,5.74,17157.2,1350,386,44.41,12.7,31.79,21.22,29.56,61.75,1011.1,38.03
Canberra,Canberra,Canberra,Australian Capital Territory,-35.29,149.13,426704.0,381488.0,Matched,3436,1.74,5953.2,997,183,29.02,5.33,18.4,6.82,20.98,45.83,1016.24,40.06
Cobar,Cobar,Cobar,New South Wales,-31.5,145.83,3990.0,3990.0,Matched,3009,1.13,3368.4,606,92,20.14,3.06,12.92,13.15,25.87,33.87,1015.3,36.75
CoffsHarbour,Coffs Harbour,Coffs Harbour,New South Wales,-30.3,153.12,71822.0,25752.0,Matched,3009,5.06,14946.6,1213,357,40.31,11.86,29.43,14.44,23.97,62.35,1015.83,39.23
Dartmoor,Dartmoor,,,,,,,Needs review,3009,2.15,6315.2,1571,175,52.21,5.82,31.33,8.62,19.7,62.46,1016.51,38.9
Darwin,Darwin,Darwin,Northern Territory,-12.44,130.84,136828.0,136828.0,Matched,3193,5.09,16260.2,1046,428,32.76,13.4,26.69,23.21,32.54,51.83,1008.35,40.58
GoldCoast,Gold Coast,Gold Coast,Queensland,-28.02,153.4,679127.0,638090.0,Matched,3040,3.77,11232.8,1142,274,37.57,9.01,26.01,17.36,25.77,62.98,1015.21,42.48
Hobart,Hobart,Hobart,Tasmania,-42.88,147.32,240342.0,222356.0,Matched,3193,1.6,5106.6,1414,138,44.28,4.32,23.87,9.08,17.87,52.94,1012.96,47.53
Katherine,Katherine,Katherine,Northern Territory,-14.47,132.27,1488.0,1488.0,Matched,1578,3.2,4993.7,331,134,20.98,8.49,17.0,20.55,34.94,42.76,1008.49,38.77
Launceston,Launceston,Launceston,Tasmania,-41.44,147.15,87328.0,87328.0,Matched,3040,2.01,6092.3,1103,203,36.28,6.68,23.08,7.84,18.95,57.32,1013.75,35.63
Melbourne,Melbourne,Melbourne,Victoria,-37.81,144.96,5078193.0,4529500.0,Matched,3193,1.87,4553.6,981,127,30.72,3.98,26.12,11.78,20.77,51.18,1015.78,45.61
MelbourneAirport,Melbourne,Melbourne,Victoria,-37.81,144.96,5078193.0,4529500.0,Matched,3009,1.45,4369.0,1132,111,37.62,3.69,21.7,9.97,20.49,51.17,1016.28,46.92
Mildura,Mildura,Mildura,Victoria,-34.19,142.16,32738.0,32738.0,Matched,3009,0.95,2841.8,583,76,19.38,2.53,10.87,10.73,24.84,35.4,1016.26,37.17
Moree,Moree,Moree,New South Wales,-29.46,149.83,9311.0,9311.0,Matched,3009,1.63,4652.6,587,142,19.51,4.72,13.81,12.91,26.95,35.81,1014.93,39.89
MountGambier,Mount Gambier,Mount Gambier,South Australia,-37.83,140.78,29639.0,25512.0,Matched,3040,2.09,6327.4,1594,182,52.43,5.99,30.36,8.83,19.83,57.33,1016.38,42.87
MountGinini,MountGinini,,,,,,,Needs review,3040,3.29,9570.6,1293,293,42.53,9.64,28.17,3.58,11.66,69.72,,46.25
Newcastle,Newcastle,Newcastle,New South Wales,-32.92,151.75,322278.0,152984.0,Matched,3039,3.18,9408.4,1132,271,37.25,8.92,24.74,13.76,24.1,57.36,,
Nhil,Nhill,Nhill,Victoria,-36.33,141.65,1872.0,1872.0,Matched,1578,0.93,1466.8,517,39,32.76,2.47,15.42,9.0,22.41,44.92,1016.4,42.54
NorahHead,NorahHead,,,,,,,Needs review,3004,3.39,9921.4,1222,303,40.68,10.09,27.59,15.36,22.59,67.52,1016.01,42.18
NorfolkIsland,NorfolkIsland,,,,,,,Needs review,3009,3.13,9270.4,1562,241,51.91,8.01,31.01,16.87,21.83,67.84,1015.86,42.61
Nuriootpa,Nuriootpa,Nuriootpa,South Australia,-34.47,138.98,6314.0,6314.0,Matched,3009,1.39,4175.2,1060,115,35.23,3.82,19.72,9.36,21.7,45.43,1016.79,40.67
PearceRAAF,Perth,Perth,Western Australia,-31.95,115.86,2059484.0,2039200.0,Matched,3009,1.67,4610.0,694,155,23.06,5.15,18.28,12.3,26.05,42.08,1015.1,43.58
