Factor,Bin,RainTomorrowRate,Count
Humidity3pm,"(-0.001, 20.0]",3.61,10802
Humidity3pm,"(20.0, 40.0]",7.17,31548
Humidity3pm,"(40.0, 60.0]",14.09,49486
Humidity3pm,"(60.0, 80.0]",34.32,34404
Humidity3pm,"(80.0, 100.0]",76.8,12343
Pressure3pm,"(979.999, 990.0]",81.65,109
Pressure3pm,"(990.0, 1000.0]",62.62,1843
Pressure3pm,"(1000.0, 1010.0]",35.32,27738
Pressure3pm,"(1010.0, 1020.0]",20.24,66630
Pressure3pm,"(1020.0, 1030.0]",13.62,29514
Pressure3pm,"(1030.0, 1040.0]",9.01,2375
Cloud3pm,"(-0.001, 2.0]",5.66,26937
Cloud3pm,"(2.0, 4.0]",15.07,12090
Cloud3pm,"(4.0, 6.0]",23.07,15612
Cloud3pm,"(6.0, 8.0]",43.8,30459
Cloud3pm,"(8.0, 10.0]",0.0,1
WindGustSpeed,"(-0.001, 20.0]",13.32,7359
WindGustSpeed,"(20.0, 40.0]",15.81,66781
WindGustSpeed,"(40.0, 60.0]",26.48,48309
WindGustSpeed,"(60.0, 80.0]",47.41,9143
WindGustSpeed,"(80.0, 100.0]",56.94,1210
WindGustSpeed,"(100.0, 140.0]",66.12,121
