Year,State,AvgRainfall,TotalRainfall,RainyDayRate,HeavyRainRate,RainTomorrowRate,Records
2007,Australian Capital Territory,3.22,196.4,45.9,11.48,31.15,61
2008,Australian Capital Territory,1.61,640.0,25.94,4.79,17.38,397
2008,New South Wales,2.84,1288.2,37.47,9.59,26.37,459
2008,Northern Territory,2.59,557.4,22.33,8.84,18.14,215
2008,Queensland,4.02,1105.0,40.07,12.27,26.55,277
2008,South Australia,1.79,353.6,35.81,3.72,22.84,215
2008,Tasmania,1.4,300.6,47.44,3.72,23.26,215
2008,Victoria,1.57,386.4,43.5,4.47,21.54,246
2008,Western Australia,1.95,420.0,39.53,6.05,24.65,215
2008,,3.15,97.8,54.84,9.68,29.03,31
2009,Australian Capital Territory,1.32,961.0,26.71,4.38,17.86,730
2009,New South Wales,2.31,10087.3,30.71,6.23,20.58,4379
2009,Northern Territory,2.49,1819.2,19.32,6.3,13.84,730
2009,Queensland,4.49,6527.0,33.15,9.11,23.23,1460
2009,South Australia,1.64,1785.4,38.72,5.21,23.74,1095
2009,Tasmania,2.21,1613.4,43.84,7.12,26.3,730
2009,Victoria,1.34,3903.6,37.84,3.73,21.3,2920
2009,Western Australia,1.9,2699.1,30.96,6.71,22.64,1460
2009,,2.08,6553.0,38.51,6.39,23.61,3285
2010,Australian Capital Territory,2.94,2085.2,28.77,8.9,20.06,730
2010,New South Wales,2.84,12116.5,35.59,8.47,24.26,4380
2010,Northern Territory,4.15,3026.8,30.96,12.19,25.89,730
2010,Queensland,5.74,8346.6,46.58,13.22,31.34,1460
2010,South Australia,1.82,1987.1,42.28,5.75,24.61,1095
2010,Tasmania,1.86,1354.5,39.32,5.89,23.29,730
2010,Victoria,2.2,6431.0,45.0,6.64,25.99,2920
2010,Western Australia,1.4,2017.4,21.71,5.07,14.86,1460
2010,,2.31,7153.7,39.12,6.87,24.81,3277
2011,Australian Capital Territory,2.19,1444.8,32.54,6.72,20.39,670
2011,New South Wales,2.95,11569.8,36.09,7.96,23.63,4020
